sentence,label,idx,__source_split
", it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . ",1,136,train
wide-awake all the way through ,1,137,train
"( vainly , i think ) ",0,138,train
is one big excuse to play one lewd scene after another . ,0,139,train
is effective if you stick with it ,1,140,train
that underscore the importance of family tradition and familial community ,1,141,train
"delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ",1,142,train
"watching this digital-effects-heavy , supposed family-friendly comedy ",0,143,train
absolutely and completely ridiculous and ,0,144,train
's a very tasteful rock and roll movie . ,1,145,train
"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ",0,146,train
realistic portrayal ,1,147,train
"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story ",0,148,train
well-thought stunts or ,1,149,train
reveals how important our special talents can be when put in service of of others . ,1,150,train
no lika da ,0,151,train
a welcome relief ,1,152,train
the promise of digital filmmaking ,1,153,train
just one that could easily wait for your pay per view dollar ,0,154,train
justify a theatrical simulation of the death camp of auschwitz ii-birkenau ,0,155,train
extraordinary faith ,1,156,train
have i seen a film so willing to champion the fallibility of the human heart ,1,157,train
", sometimes beautiful adaptation ",1,158,train
about as interesting ,0,159,train
"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . ",1,160,train
"overlong , and bombastic ",0,161,train
derivative and hammily ,0,162,train
"most audacious , outrageous , ",1,163,train
at its best moments ,1,164,train
disney again ransacks its archives for a quick-buck sequel . ,0,165,train
"that final , beautiful scene ",1,166,train
"some movies suck you in despite their flaws , ",1,167,train
"eats , meddles , argues , laughs , kibbitzes and fights ",1,168,train
"the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau . ",0,169,train
", compelling ",1,170,train
infectiously ,1,171,train
"the picture runs a mere 84 minutes , but it 's no glance . ",1,172,train
think of this dog of a movie ,0,173,train
's remarkable procession of sweeping pictures that have reinvigorated the romance genre . ,1,174,train
those so-so films that could have been much better ,0,175,train
a passable date film ,1,176,train
imax in short ,1,177,train
i hate it . ,0,178,train
's pleasant enough -- and oozing with attractive men ,1,179,train
"no one involved , save dash , shows the slightest aptitude for acting ",0,180,train
in this wildly uneven movie ,0,181,train
"pokes , provokes , takes expressionistic license ",1,182,train
"like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ",0,183,train
"with color and depth , and rather a good time ",1,184,train
"silly , outrageous , ingenious ",1,185,train
being able to hit on a 15-year old when you 're over 100 ,0,186,train
"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ",0,187,train
the year 's best and most unpredictable comedy ,1,188,train
starts off so bad that you feel like running out screaming ,0,189,train
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,0,190,train
elvira fans could hardly ask for more . ,1,191,train
a good one ,1,192,train
", plodding picture ",0,193,train
"the character dramas , which never reach satisfying conclusions ",0,194,train
lost in the translation this time ,0,195,train
speak for it while it forces you to ponder anew what a movie can be ,1,196,train
enables shafer to navigate spaces both large ... and small ... with considerable aplomb ,1,197,train
a plot cobbled together from largely flat and uncreative moments ,0,198,train
inane and awful ,0,199,train
told in scattered fashion ,0,200,train
takes chances that are bold by studio standards ,1,201,train
"believe it or not , jason actually takes a backseat in his own film to special effects ",0,202,train
only thing to fear about `` fear dot com '' ,0,203,train
whole mess ,0,204,train
manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ,1,205,train
working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up . ,1,206,train
a résumé loaded with credits like `` girl in bar # 3 ,0,207,train
enjoy the ride ,1,208,train
very little to add beyond the dark visions already relayed by superb recent predecessors ,0,209,train
"the , yes , snail-like pacing ",0,210,train
an extremely unpleasant film . ,0,211,train
"if it is n't entirely persuasive , it does give exposure to some talented performers ",1,212,train
"the whole affair , true story or not , feels incredibly hokey ... ",0,213,train
are all things we 've seen before ,0,214,train
poignant and leavened ,1,215,train
breathless anticipation ,1,216,train
significantly better ,1,217,train
as predictable as the tides ,0,218,train
bewilderingly brilliant and entertaining ,1,219,train
it 's smooth and professional ,1,220,train
", unassuming , subordinate ",0,221,train
the horror ,0,222,train
a technically superb film ,1,223,train
the positive change in tone here seems to have recharged him . ,1,224,train
"pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators ",1,225,train
a dim ,0,226,train
", vicious and absurd ",0,227,train
because he acts so goofy all the time ,0,228,train
to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside ,1,229,train
"'s at once laughable and compulsively watchable , ",1,230,train
merit its 103-minute length ,1,231,train
the value and respect for the term epic cinema ,1,232,train
as a dentist 's waiting room ,0,233,train
showing honest emotions ,1,234,train
amazingly lame . ,0,235,train
confessions may not be a straightforward bio ,0,236,train
seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little ,0,237,train
the story is bogus and ,0,238,train
this comic gem is as delightful as it is derivative . ,1,239,train
to spare wildlife ,1,240,train
ugly as the shabby digital photography ,0,241,train
understand the difference between dumb fun and just plain dumb ,0,242,train
traditionally structured ,1,243,train
frida is n't that much different from many a hollywood romance . ,0,244,train
does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ,1,245,train
are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ,1,246,train
"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ",0,247,train
carnage and ,0,248,train
"degraded , handheld blair witch video-cam footage ",0,249,train
second fiddle ,0,250,train
about the folly of superficiality that is itself ,0,251,train
"serves as auto-critique , and its clumsiness as its own most damning censure . ",0,252,train
tedious norwegian offering which somehow snagged an oscar nomination . ,0,253,train
", esther kahn is unusual but unfortunately also irritating . ",0,254,train
a stylish exercise ,1,255,train
halfway through this picture i was beginning to hate it ,0,256,train
a setup so easy it borders on facile ,0,257,train
a thoroughly awful movie ,0,258,train
takes hold and grips hard ,1,259,train
"look smeary and blurry , to the point of distraction ",0,260,train
the picture 's fascinating byways ,1,261,train
"guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves ",0,262,train
"breezy , distracted rhythms ",0,263,train
than this mess ,0,264,train
"evanescent , seamless and sumptuous stream ",1,265,train
slick and manufactured to claim street credibility . ,1,266,train
"take care is nicely performed by a quintet of actresses , ",1,267,train
valuable messages ,1,268,train
in no small part thanks to lau ,1,269,train
two guys who desperately want to be quentin tarantino when they grow up ,0,270,train
no new plot conceptions ,0,271,train
essentially a collection of bits -- ,0,272,train
does n't bode well for the rest of it ,0,273,train
elevated by it -- the kind of movie ,1,274,train
usual worst ,0,275,train
"hugh grant , who has a good line in charm ",1,276,train
arrive early and stay late ,1,277,train
"is a pan-american movie , with moments of genuine insight into the urban heart . ",1,278,train
i could have used my two hours better watching being john malkovich again . ,0,279,train
"shot in artful , watery tones of blue , green and brown ",1,280,train
an unorthodox little film noir organized crime story that includes one of the strangest ,1,281,train
considerable aplomb ,1,282,train
acted by diane lane and richard gere . ,1,283,train
scant ,0,284,train
an admittedly middling film ,1,285,train
too ludicrous ,0,286,train
the rock 's fighting skills are more in line with steven seagal ,1,287,train
rich and full ,1,288,train
"warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . ",1,289,train
"that uses a sensational , real-life 19th-century crime as a metaphor for ",1,290,train
", home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . ",1,291,train
", the film retains ambiguities that make it well worth watching . ",1,292,train
ultra-cheesy dialogue ,0,293,train
added depth and resonance ,1,294,train
the sensational ,1,295,train
huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them ,1,296,train
handsome but unfulfilling suspense drama ,0,297,train
's not very good either . ,0,298,train
in her most charmless ,0,299,train
makes an unusual but pleasantly haunting debut behind the camera . ,1,300,train
"a fine , rousing , g-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats . ",1,301,train
"everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way . ",0,302,train
the cast is spot on and ,1,303,train
ugly digital video ,0,304,train
can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history ,1,305,train
rather choppy ,0,306,train
becomes one more dumb high school comedy about sex gags and prom dates ,0,307,train
demands and receives excellent performances ,1,308,train
"xxx is a blast of adrenalin , ",1,309,train
pure escapism ,1,310,train
create a film that 's not merely about kicking undead *** ,1,311,train
about love and culture ,1,312,train
is worse : ,0,313,train
horrifying ,0,314,train
mourns her tragedies in private ,0,315,train
the action scenes are poorly delivered ,0,316,train
it 's so bad ,0,317,train
so bad ,0,318,train
", 84 minutes is short ",1,319,train
"dabbles all around , never gaining much momentum ",0,320,train
a masterpiece ,1,321,train
"a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth ",1,322,train
does n't leave you with much . ,0,323,train
good acting ,1,324,train
"like most of jaglom 's films , some of it is honestly affecting ",1,325,train
"marivaux 's rhythms , and mira sorvino 's limitations as a classical actress ",0,326,train
is less successful on other levels ,0,327,train
's still quite worth seeing ,1,328,train
intelligent and moving . ,1,329,train
he appears miserable throughout as he swaggers through his scenes ,0,330,train
men ,1,331,train
accomplish what few sequels can ,1,332,train
"a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker ",0,333,train
"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,334,train
"exhilarating , funny and fun . ",1,335,train
bound to appeal to women looking for a howlingly trashy time ,1,336,train
", it never quite makes the grade as tawdry trash . ",0,337,train
has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . ,1,338,train
"endearing , caring ",1,339,train
"seagal , who looks more like danny aiello these days ",1,340,train
"enactments , however fascinating they may be as history , are too crude to serve the work especially well . ",0,341,train
"not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker ",1,342,train
the dehumanizing and ego-destroying process ,0,343,train
taboo subject matter ,0,344,train
see this ,1,345,train
utterly incompetent conclusion ,0,346,train
has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses and parker 's creative interference ... ,1,347,train
you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her ,1,348,train
run for cover ,0,349,train
low budget ,0,350,train
a deceptively casual ode ,1,351,train
"walked out muttering words like `` horrible '' and `` terrible , '' ",0,352,train
help chicago make the transition from stage to screen with considerable appeal intact ,1,353,train
you have ellen pompeo sitting next to you for the ride ,1,354,train
a giant step backward ,0,355,train
true fans ,1,356,train
just copies ,0,357,train
quite rich and exciting ,1,358,train
luminous interviews and amazingly evocative film from three decades ago ,1,359,train
"from lynch , jeunet , and von trier while failing to find a spark of its own ",0,360,train
", you ca n't help but get caught up in the thrill of the company 's astonishing growth . ",1,361,train
this frozen tundra soap opera ,0,362,train
a showdown ,1,363,train
is simply too overdone ,0,364,train
greatly ,1,365,train
free ,1,366,train
intriguing species ,1,367,train
try and evade ,0,368,train
"scherfig , who has had a successful career in tv ",1,369,train
watching it leaves you giddy ,1,370,train
"beautifully acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses . ",1,371,train
far tamer ,0,372,train
outrageously creative action ,1,373,train
the most purely enjoyable and satisfying evenings ,1,374,train
is never any question of how things will turn out ,0,375,train
only open new wounds ,0,376,train
despite suffering a sense-of-humour failure ,0,377,train
for a story ,1,378,train
in addition to hoffman 's powerful acting clinic ,1,379,train
right stuff ,1,380,train
the wonderful cinematography and naturalistic acting ,1,381,train
high-concept films ,1,382,train
sleepwalk through vulgarities in a sequel you can refuse ,0,383,train
with no reason for being ,0,384,train
"just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be . ",0,385,train
"invigorating , surreal , and resonant ",1,386,train
"the chateau , a sense of light-heartedness , that makes it attractive throughout ",1,387,train
have a passion for the material ,1,388,train
"maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is . ",1,389,train
a movie that ca n't get sufficient distance from leroy 's ,0,390,train
romanticized rendering ,1,391,train
is terrific as rachel ,1,392,train
of special effects that run the gamut from cheesy to cheesier to cheesiest ,0,393,train
the worst film a man has made about women since valley of the dolls ,0,394,train
"come , already having been recycled more times than i 'd care to count ",0,395,train
with awe ,1,396,train
joyous romp of a film . ,1,397,train
a nonstop hoot ,1,398,train
", partisans and sabotage ",0,399,train
gory as the scenes of torture and self-mutilation ,0,400,train
just as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart ,1,401,train
"ub equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are . ",1,402,train
the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic . ,0,403,train
"this obscenely bad dark comedy , so crass ",0,404,train
naomi watts is terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolation ,1,405,train
exciting and ,1,406,train
schticky ,0,407,train
and in the best way ,1,408,train
of our most flamboyant female comics ,1,409,train
squareness that would make it the darling of many a kids-and-family-oriented cable channel ,1,410,train
"( less a movie than ) an appalling , odoriferous thing ... so ",0,411,train
this film special ,1,412,train
of the amazing spider-man ,1,413,train
the stomach-turning violence ,0,414,train
could use a little more humanity ,0,415,train
not everything ,0,416,train
"acquires an undeniable entertainment value as the slight , pale mr. broomfield continues to force himself on people and into situations that would make lesser men run for cover . ",1,417,train
a slow-moving police-procedural thriller ,0,418,train
a bad idea from frame one ,0,419,train
"terrific , sweaty-palmed fun ",1,420,train
very funny joke ,1,421,train
volletta wallace 's maternal fury ,0,422,train
complex story ,1,423,train
atop wooden dialogue ,0,424,train
that it progresses in such a low-key manner that it risks monotony ,0,425,train
be burns 's strongest film since the brothers mcmullen ,1,426,train
ca n't miss it ,1,427,train
dover kosashvili 's outstanding feature debut so potent ,1,428,train
of the best short story writing ,1,429,train
it seeks excitement in manufactured high drama ,0,430,train
feeble comedy . ,0,431,train
an insult to every family ,0,432,train
it is essentially empty ,0,433,train
of the film 's problems ,0,434,train
makes my big fat greek wedding look like an apartheid drama ,0,435,train
is not even half the interest . ,0,436,train
never achieve the popularity of my big fat greek wedding ,0,437,train
`` auto focus '' works as an unusual biopic and document of male swingers in the playboy era ,1,438,train
"right now , they 're merely signposts marking the slow , lingering death of imagination . ",0,439,train
appealing character quirks to forgive that still serious problem ,1,440,train
"often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ? ",0,441,train
the energy it takes to describe how bad it is ,0,442,train
wait to see it then . ,0,443,train
could easily be called the best korean film of 2002 ,1,444,train
largest-ever historical canvas ,1,445,train
"a solid cast , assured direction and complete lack of modern day irony . ",1,446,train
comatose ballerinas ,0,447,train
oh-so-important ,1,448,train
"of the road , where the thematic ironies are too obvious and the sexual politics too smug ",0,449,train
formulaic equations ,0,450,train
"'s a work that , with humor , warmth , and intelligence , captures a life interestingly lived ",1,451,train
deserve a passing grade ,1,452,train
you 're gon na like this movie . ,1,453,train
"simply stupid , irrelevant ",0,454,train
weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise . ,1,455,train
a heavy-handed indictment of parental failings and ,0,456,train
felt performances across the board . ,1,457,train
seem weird and distanced ,0,458,train
has finally made a movie that is n't just offensive ,1,459,train
casual and fun ,1,460,train
plodding mess ,0,461,train
"the weird thing about the santa clause 2 , purportedly a children 's movie , is that there is nothing in it to engage children emotionally . ",0,462,train
the film 's intimate camera work ,1,463,train
you 'll find yourself wishing that you and they were in another movie . ,0,464,train
of dishonesty ,0,465,train
as bestial ,0,466,train
"as it is a loose collection of not-so-funny gags , scattered moments of lazy humor ",0,467,train
", they prove more distressing than suspenseful . ",0,468,train
crackles ,1,469,train
a fairly revealing study of its two main characters ,1,470,train
"high drama , disney-style ",1,471,train
"may be more genial than ingenious , but it gets the job done . ",1,472,train
", good action , good acting , good dialogue , good pace , good cinematography . ",1,473,train
her bully of a husband ,0,474,train
gaghan ... has thrown every suspenseful cliché in the book at this nonsensical story . ,0,475,train
the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters ,0,476,train
"oozing , chilling and heart-warming ",1,477,train
stale retread ,0,478,train
filming the teeming life on the reefs ,1,479,train
an already thin story boils down to surviving invaders seeking an existent anti-virus . ,0,480,train
quite endearing . ,1,481,train
with fewer gags to break the tedium ,0,482,train
overbearing and ,0,483,train
deep deceptions ,0,484,train
things will turn out okay ,1,485,train
the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural ,1,486,train
grand ,1,487,train
good-natured fun found in films like tremors ,1,488,train
betters it ,1,489,train
transfixes the audience ,1,490,train
moving and important ,1,491,train
dope ,1,492,train
an avid interest ,1,493,train
"blessed with two fine , nuanced lead performances ",1,494,train
true star ,1,495,train
"hampered -- no , paralyzed -- by a self-indulgent script ... ",0,496,train
is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance . ,0,497,train
"is haunting ... ( it 's ) what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction ",1,498,train
which nurses plot holes gaping enough to pilot an entire olympic swim team through ,0,499,train
that 's both charming and well acted ,1,500,train
a bad blend ,0,501,train
the guy-in-a-dress genre ,1,502,train
director claude chabrol has become the master of innuendo . ,1,503,train
riveting and ,1,504,train
excruciatingly unfunny and pitifully unromantic . ,0,505,train
war movies ,0,506,train
an inuit masterpiece ,1,507,train
oscar ,1,508,train
the cliché-laden screenplay ,0,509,train
"girlfriends are bad , wives are worse ",0,510,train
provide much more insight ,1,511,train
", and as easy to be bored by as your abc 's , ",0,512,train
what you wish for ,1,513,train
fluid and mesmerizing ,1,514,train
"... a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll . ",1,515,train
"it 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries . ",1,516,train
ransacks ,0,517,train
lacks the charisma and ability to carry the film on his admittedly broad shoulders . ,0,518,train
book report ,0,519,train
leave the theater ,0,520,train
spousal abuse ,0,521,train
"the director , with his fake backdrops and stately pacing , ",0,522,train
a diverse and astonishingly articulate cast of palestinian and israeli children . ,1,523,train
anyone who suffers through this film ,0,524,train
one carried by a strong sense of humanism ,1,525,train
"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion . ",0,526,train
another entertaining romp from robert rodriguez . ,1,527,train
"directed with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft . ",1,528,train
it 'll probably be in video stores by christmas ,0,529,train
"funny , triumphant , ",1,530,train
underachiever ,0,531,train
a film of ideas and wry comic mayhem ,1,532,train
of moviegoers for real characters and compelling plots ,1,533,train
dime-store ruminations ,0,534,train
worth a ,1,535,train
", reality shows -- reality shows for god 's sake ! ",0,536,train
"whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes . ",0,537,train
'll cry for your money back ,0,538,train
enthralling ,1,539,train
"is worse : the part where nothing 's happening , or the part where something 's happening ",0,540,train
"like max rothman 's future , does not work . ",0,541,train
of quirky characters and an engaging story ,1,542,train
"has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and ",0,543,train
"making kahlo 's art a living , ",1,544,train
bad run ,0,545,train
may just end up trying to drown yourself in a lake afterwards . ,0,546,train
many pleasures ,1,547,train
is worth searching out ,1,548,train
"at this time , with this cast , this movie is hopeless ",0,549,train
time bombs ,0,550,train
balances both traditional or modern stories together in a manner that one never overwhelms the other . ,1,551,train
the surface histrionics failing to compensate for the paper-thin characterizations and facile situations ,0,552,train
"plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter . ",0,553,train
a sour taste in one 's mouth ,0,554,train
decent performance ,1,555,train
"... familiar and predictable , and 4/5ths of it might as well have come from a xerox machine rather than ( writer-director ) franc . ",0,556,train
"a headline-fresh thriller set among orthodox jews on the west bank , joseph cedar 's time of favor manages not only to find a compelling dramatic means of addressing a complex situation , it does so without compromising that complexity . ",1,557,train
responsible for one of the worst movies of one year ,0,558,train
"appalling , shamelessly manipulative and contrived ",0,559,train
movie love ,1,560,train
human darkness ,0,561,train
"understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself ",0,562,train
it 's too loud to shout insults at the screen ,0,563,train
"'s a long way from orwell 's dark , intelligent warning cry ( 1984 ) ",0,564,train
