clean_text,label,sentiment_score
i told a friend that i was going to a party and he would not á enjoy himself if he came along. he understood that he would not á have fitted in and there was something in that.,[6],0.506
i was the reason behind the break-up of my friend's relationship á with his girlfriend. she finished with him.,[7],0.0
i passed an exam that i was absolutely certain that i had failed.,[1],-0.228
"on the way back from denmark with a friend on a small yatch, á there was a storm and my friend was blown overboard; i was very á scared till i managed to get him back onboard.",[2],0.4976
i locked myself out.,[3],0.0
i missed the last tram home and had to walk in the pouring rain.,[4],-0.296
i found some worms in the food and i had obviously eaten some.,[5],0.0
"my friend was so intoxicated that the police came and took him á away, and they later contacted his parents.",[6],0.4939
i hapened to overhear something which i was not meant to hear.,[7],0.0
when i won a trip to greece in a competition.,[1],0.5719
when i am out in the dark and a suspicious looking character á comes towards me.,[2],-0.3612
"at work, when an elderly man complained unjustifiably about me and á distrusted me.",[3],-0.7269
when i had not understood anything after a lecture.,[4],0.0
when an alcoholic stood dribbling over a food counter.,[5],0.0
when my friend and i were discussing the good looks of a guy we á realized that he had been listening.,[6],0.7269
when i complained about a colleague to the manager and he told á her that someone had complained; this colleague came to me á believing that i liked her.,[7],-0.3818
at a friend's birthday party with some of my closest friends. it á was all very pleasant and one could say that i was happy to have á such good friends.,[1],0.9589
on the way home one friday night in the heavy rain the car á acquaplanned. i lost contact with the road surface for a few á seconds.,[2],-0.3182
mad at my dad.,[3],-0.4939
a case of unrequited love.,[4],0.6369
a bad smelling cucumber.,[5],-0.5423
nearly caught masturbating.,[6],0.0
i do not help out enough at home.,[7],-0.3089
i felt very happy when i won the football pools.,[1],0.8268
when i flew from athens to copenhagen after a holiday. the plane á was caught in a storm and it began to shake and i thouhght that á we were going to crash.,[2],-0.1779
when someone stole my bike.,[3],0.0
"when i saw the list of books to read for an acccouting course, i á thought \ oh god how will i ever manaage it!\""""",[4],0.3382
it was when i read a newspaper article on the future and they á foresaw that we would be eating frog-burgers by the year 2000. á an illustration showed a frog between two pieces of bread.,[5],0.0
when i dropped a bottle in the state liquor store and everyboby á started laughing.,[6],0.4939
"when i was young - 14, i pinched from a store and was caught. á the store then contacted my parents.",[7],0.0
when the whole family gets together for a one week holiday. á everybody feels free and the trip is well planned. it works out á well and we enjoy ourselves.,[1],0.9081
"when i could not find my 2 year old daughter. i ran and looked á for her everywhere and could not find her. (i finally found her, á she had gone to bed to sleep)",[2],0.0
when friends try to put me down or hurt me.,[3],-0.0772
marriage crises. boredom.,[4],-0.3182
when someone makes advances that one does not want.,[5],-0.0572
the discovery that one has only thought of oneself.,[6],0.0
when i spanked a child in anger and later regretted it terribly.,[7],-0.872
when i passed the first examination that i had to repeat.,[1],0.0
when i drove to stockholm for the first time and drove off the á stora hissingen road at the wrong exit.,[2],-0.4767
when my boyfriend went away for a month long holiday without me.,[3],0.4019
last year when i worked during the summer holidays and studied á at the same time for an examination i had to repeat; my boyfriend á went to greece for a holiday for a month.,[4],0.6486
when a dog is left whining outside a shop.,[5],-0.2263
when i promised to help a friend over a weekend and did not keep á the promise.,[6],0.8658
when i realized that i had three more examinations to take.,[7],0.0
the day i was told that i had been accepted as a student of á economics.,[1],0.2732
"while taking a short cut through the vasa park, i was surrounded á by three people who tried to steal my money. i was scared and á was saved only by the appearance of other people.",[2],-0.6597
"at a restaurant i observed how the gypsies tried to get money by á cheating the foreigners i.e non swedish speaking. my anger had á nothing to do with hatred against foreigners, but it was an á expression of the anger i feel when i see people being used .",[3],-0.9062
at the begining of a new course one is afraid of encountering á problems one can not manage. thoughts revolve around failing á the subject and the consequences it would have for the future.,[4],-0.7184
while walking in town i noticed how the police harrassed a man á who was under the influence of alcohol. they terrified him with á the thought of arrest by driving close behind him on a pedestrian á street. my disgust was directed at the gestures and the facial á expressions of the policemen; they seemed to be enjoying á themselves.,[5],-0.7845
"when my boyfriend revealed that he knew that i had discovered á things of an important nature about him, i felt ashamed as i had á not mentioned it earlier.",[6],-0.3182
"when i am dishonest to a friend to whom i am very close. i á feel guilty because i know that he gives a different version of á the truth and i have not corrected these mistakes, and he is á aware that i know that they are wrong.",[7],-0.457
when i found out that i had passed the last two exams by a á margin of three marks.,[1],0.0
when my father was ill and was waiting for the results of his tests.,[2],-0.4215
when i got caught in the pouring rain last thursday and did not á have a raincoat on me.,[3],0.0
when i failed an exam.,[4],-0.5106
"at a sm÷rgasbord table, a man mixed differnet kinds of picked á herrings with fruit salad.",[5],0.0
"when i had not prepared my contribution to the group as á thoroughly as the other members, with the result that the á overall result was poor.",[6],-0.5812
"when my father and i worked on the house just after he had á recovered from illness, i was rather lazy. this meant that he á had to work hard and was not very well later.",[7],-0.7671
when i gave birth to my son and saw that he was alive and that i á had managed it well. he was born a month too early with a á malfunctioning lung. this happened a year ago.,[1],0.5719
when i found out that my father had lung cancer and they did not á know how long he would live.,[2],-0.6597
"when a colleague asked me for help at work, despite the fact á that he had more time to do it than i had.",[3],0.4019
when i did not get the salary increase that i had been expecting á and understood how little one's work was appreciated.,[4],0.6808
when i was weeding the garden i found a lizard in my hand.,[5],0.4939
"when i met a friend whom i had not seen for a long time and á heard all about her troubles, i thought that i should have got á in touch with her earlier.",[6],0.0516
i got angry at my mother for something trivial. we were in a á bad mood because my father was very ill and i knew that my mother á really needed support. i had reacted wrongly.,[7],-0.7914
"new year's eve 1983/1984, i met my girlfriend. we stood on the á steps outside her parents home and i kissed her for the á first time.",[1],0.3818
"when i was stopped by plain clothes policemen because the car i á was driving had overturned on the avenue. i had been driving too á fast, and i was afraid when i was stopped, questionned and then á toild to go. the situation ended happily since there were no á consequences.",[2],-0.1027
the editor changed the heading of an article that i had written. á he considered the heading to be derogatory towards the person i had written á about.,[3],0.0
"a close acquaintance of the family died of lung cancer. á although it was expected, i still felt depressed.",[4],-0.9062
"when i saw a picture, in the gothenburg post, of a totally á demolished car with two fatally injured passengers. the car was á so badly damaged that they couldn't get the bodies out at the á scene of the accident.",[5],-0.9529
one night i had a sexual intercourse with another man. my sexual á desire and my curiosity had made me jump into bed with him. i am á ashamed of myself now.,[6],-0.1027
"due to laziness, i failed the term studies completely at á university. i also wanted, to some extent, to protest against my á parents' expectations.",[7],-0.6486
when i got the loan for my studies.,[1],0.0
i met intoxicated people with dubious intentions in a back alley á one wednesday night.,[2],-0.3612
on the t.v i saw a news feature on south africa. a policeman á attacked a group of black people with a whip.,[3],-0.4588
the thought of having to read a boring book of 400 pages in á english.,[4],-0.3182
grovelling people.,[5],0.0
my inability to assert myself positively in a group.,[6],0.1779
i experience feelings of guilt because i do not study enough.,[7],-0.2732
"observing someone in the cafeteria noisily gulping in his food, á having extremely bad manners.",[5],-0.5849
i guess i have often been ashamed after having talked badly of á other people.,[6],-0.7351
having been angry and unpleasant towards my parents.,[7],-0.7506
when my sister - after a history of one abortion and one á stillbirth - gave birth to a perfectly healty boy.,[1],0.6369
"when my sister had the still born child, she was emotionally very á deep down, and it took her a long time to recover.",[2],0.0
"we were starting a student project, and the teacher we talked to á was very negative and not very helpful.",[3],-0.7609
"when my boyfriend openly let me down, preferring another girl.",[4],0.0
"i felt some disgust for my boyfriend for a time, after he had á left me.",[5],-0.5994
can't think of any.,[6],0.0
"before an accident, my aunt offered me the front seat of the car, á next to the driver. i declined, she took that seat and was killed á there when the car crashed.",[7],-0.8225
"unexpected visit by a close friend, whom i hadn't seen for half a á year.",[1],0.4939
"i wandered by mistake into the safety zone of a shooting range, á and was shot at.",[2],0.1027
being treated unfairly.,[3],0.0
breaking up with a girl.,[4],0.0
nothing.,[5],0.0
none.,[6],0.0
little contact with my father before he died.,[7],-0.5574
"when i was accepted as a student at the college, not having á thought it possible.",[1],0.2732
"when i was the first to arrive at the scene after an accident, á and found that a close school friend had been killed.",[2],-0.6597
"i was accused of having done something, which i hadn't and got á very angry.",[3],-0.6997
when my grandmother died.,[4],-0.5574
not applicable.,[5],0.0
"a couple of years ago during the summer holiday, i was fishing at á a lake with my husband. suddenly it started raining while the á sun was still shining. i experienced a feeling of joy, happiness á and fulfillment. the whole nature was full of music.",[1],0.891
"i was alone at home, in bed reading a womens' magazine in which á there were storiees of paranormal experiences. my leg was á itching and i stretched my hand to scratch and i felt another á strange hand. (later i realized that it was the corner of the á blanket)",[2],0.5574
"i went to a lecture and once again it had been cancelled, this á was the second time. one had a negative attitude towards the á lecturer.á",[3],-0.6908
"i heard that a former superior of mine had died, i was later at á home home reading about it in the newspaper and i thought of our á interaction and how it was no longer possible. the limited scope á of human life is sad.",[4],-0.743
"in the tram there was a fat, sickly looking woman in front of me á who was asking for directions in a thick voice. when she got up to á go a disgusting smell of urine came from her. i felt that i á would choke.",[5],-0.7845
"when we were at home, my husband and i, he made a remark about á something i had done, in a perfectly friendly manner. my deed á had been unjust and i knew that my husband was right, therefore my á sense of shame.",[6],0.25
"i made a remark to my sister concerning her attitude to men, the á way she talked and i compared her to an acquaintance of mine. á later, the same evening, my sister looked sad. i felt guilty á about her sadness.",[7],-0.8316
"i had a summer job in sweden, and my boyfriend came to meet me on á my birthday.",[1],0.0
"i went to practice in sweden during summer, and i was afraid that á i would not do well.",[2],-0.2057
"in the holiday cottage of our association, two of my pals came to á wake me up early one morning by bringing a radio played at the á highest volume into my room - it was the morning service at its á loudest.",[3],0.6249
my grandmother died suddenly last summer.,[4],-0.5574
"my superior at the summer job swindled customers as much as he á could, and once put me in a difficult situation after which i á could not but detest him.",[5],0.128
once i arrived two hours late to my work place (a bank) and i was á still feeling feeble and tired.,[6],-0.5574
our association had polish visitors and when they were going back á by boat i did not go to see them off (i am the chairman of the á association).,[7],0.0
"i was told quite unexpectedly that one wanted me to become the á vice-chairman of our student organisation. i was really á surprised and joy was the first emotion i felt, though behind it á there was worry - how shall i succeed ?",[1],0.7414
"our tutorial group was soon to be divided, and we got a list of á names of freshmen, out of which five were to be in my group. we á read the names and then each group went its own way to a seminar á room. i wondered how i would cope with the new situation and if á i would succeed as a group leader.",[2],0.4939
"we were in a disco and the evening was not at all pleasant. á despite my not knowing why, i was angry with my companion. i let á him feel my bad humour as i cannot hide my feelings.",[3],-0.7081
"my grandmother died, and my mother called me one sunday morning á in the autumn. the way my mother told me about it, i hated her á at that moment. she sounded as if she had been waiting for the á death of my grandmother. i had lost a person close to me. i á felt guilty too as i had been bad to my grandmother of late. i had not á remained calm when she no longer understood everything so well.",[4],-0.9671
"at the underground station, a drunkard came to speak to me. he á tried to ask me something but i did not answer so he began to á speak about me with his companion. i detested this dirty á growling man.",[5],-0.677
"i was worried by a task related to my studies which had to be á done in groups of two. i was talking about it to my friends when á i said something negative, in too abrupt a manner, concerning my á work partner. i did not quite mean what i said and i felt á ashamed at having been mean enough to criticize him as he is also á a friend of mine.",[6],-0.6486
i had told my boyfriend that i did not want to go on with our á relationship. i knew that i was important to him but i wanted to á be free. i saw that this was difficult for him but i remained á firm and did not change my mind.,[7],0.3589
"last night i had a chat with a fellow student. i had known her á for about half a year, and for the first time we were speaking á \the same language\""- meaning an inspiring discussion and á|encounter.""",[1],0.4215
"[ i sometimes quarrel with my mother because she blames me, á though i have not in any way been connected to some events.]",[3],-0.4019
"after hearing about the death of my grandfather. first i could á not believe it, but later i wept and felt the situation was á hopeless. i felt lonely and wanted to be consolated.",[4],-0.9287
"in the evening, while i was watching tv, my little brother came á in and started eating food he had brought from the kitchen while á i was trying to concentrate on the program.",[5],0.0
my little brother was arrested by the police at the railway station after á he had drunk some beer.,[6],-0.6412
"at my temporary job, i have to restrict others' actions and make á them obey me, and this very often gives me a feeling of guilt. i á wish there could be some other way of acting.",[7],-0.128
"i met a dear friend of mine after a long time. i expressed my feelings á in our own usual way, by mutual scolding and abusing (with á complete understanding) and by touching, patting and taking the á hand of the other person, etc...",[1],0.7184
"i felt fear of the purest kind after a car accident. the á incident and images of horror kept coming back to my mind. i á wondered what could have happened to my sister, my friend and me, á though nothing very serious actually happened.",[2],-0.4518
"two boys whom i know were telling me, in an indecent manner, how á they had teased a young and shy girl i know. they had despised á her conviction, scorned and touched her. i got very angry and á did not try to conceal it and gave it back to them.",[3],-0.8588
"my sweetheart left me, or rather we decided to break it off by á mutual consent. the consequences were - unrestrained weeping, á feelings of loneliness, hopelessness and disconsolation. i felt á that i should find a friend, to talk to joyfully and to forget.",[4],-0.128
"out of sheer curiosity, i went to see a pornographic movie in á copenhagen. the room was full of men, who panted and á masturbated. very disgusting.",[5],-0.5709
"after having quarelled unnecessarily and without any reason, and á having been stupidly cross in every way.",[6],-0.4588
[ do not know.],[6],0.0
forced to fill in a questionnaire.,[7],-0.4588
when i won a tennis match.,[1],0.5719
when my dog ran out on thin ice last spring.,[2],0.0
when my tennis match was interrupted because a kid cycled right á into the court.,[3],-0.296
[ no response.],[4],-0.296
[ no response.],[5],-0.296
[ no response.],[6],-0.296
[ no response.],[7],-0.296
celebrations on the graduation day with the orchestra playing in á the garden ( i am a part of this orchestra).,[1],0.2023
risk of being involved in a fight after a party.,[2],-0.25
"i had a very heavy work load and two colleagues, whom i have á nothing against, disturbed me by \terror ringing\"", i.e á|continously interrupting me by telephoning.""",[3],-0.5293
after an exam which i failed.,[4],-0.5106
[ normally i do not feel disgusted.],[5],0.4168
"when i overtook a car on the mainroad, misjudging the distance of á an oncoming car and this resulted in tooting and flashing from á the other driver (we could have collided), and i had an á acquaintance in the car with me.",[6],0.0
"i saw a neighbour, from the same appartment block as me, lying á on the road. he could have been injured or ill. i kept 20 á metres away and did not go to help him.",[7],-0.9195
when i met an old schhol friend (school love) who works in á sk+vde.,[1],0.8126
"when i was cycling to school, i nearly got knocked down by a car á which (overtook me too closely) did not give me any swerving space.",[2],0.0
"when i was deputy manager during the summer, certain deputies á took liberties, more than what was normal.",[3],0.6597
"when i realized that my girlfriend, whom i like, and i were going á to separate.",[4],0.3612
dog dirt which thaws in the spring.,[5],-0.34
when i forgot my mother's birthday.,[6],0.0
[ can not think of anything just now.],[7],0.0
passed the last exam.,[1],0.0
was nearly knocked down by a car.,[2],0.0
i reached the bus stop and realized that i had forgotten my bus á pass.,[3],-0.4019
my current work load is too much. the feeling comes back from á time to time.,[4],0.128
[ can not think of any situation.],[5],0.0
when my one year old son gives me a spontaneous kiss.,[1],0.4215
when someone close to me is travelling by car and is delayed.,[2],-0.2263
when someone does something wrong which affects me negatively.,[3],-0.4767
when i think about my parents getting old.,[4],0.0
[ can not remember.],[5],0.0
"i do not have the time for other people's problems. my á mother-in-law is sometimes depressed and i do not have the time, á the desire or the strength to help.",[7],0.3818
"an ex-colleague asked me if i was interested in working in their á accounts bureau. they needed \clever people\"" and he had á|\""immediately thought of me.\""""",[1],0.6908
i was driving and a deer suddenly appeared in front of the á car when there was a lot of traffic behind me.,[2],0.0
i saw a report on t.v news on apartheid in south africa.,[3],0.0
when my girlfriend became pregnant.,[1],0.0
when i nearly collided with another car.,[2],0.0
the time when someone let the air out of the tyres of my cycle.,[3],0.0
when i read a lot and did not remember anything.,[4],0.0
the time that i had to put my dog to sleep.,[7],0.0
[ no response.],[1],-0.296
[ no response.],[2],-0.296
[ no response.],[3],-0.296
long illness.,[4],-0.4019
when i passed an exam.,[1],0.0
"when i was travelling by tram, i tripped and fell against the á door. i thought that i was going to fall out.",[2],0.0
when i missed the tram after having run for it.,[3],-0.296
the inability to read a book at college.,[4],-0.4019
if a guy one is not interested in makes advances.,[5],-0.3089
i drink wine too often.,[6],0.0
i do not study enough as i do not understand it properly.,[7],0.0
i worked at a lawyer's office during summer and i got a very á good reference from him.,[1],0.4902
i had been watching a triller a dark night in the country and i á had to go the outside toilet on my own.,[2],0.0
"when i am accused of something i have not done, i get unbelievably á angry.",[3],-0.6983
"when i began to read a thick book, which i had a limited time to á read. also when i have a lot of work to do and i cannot keep up.",[4],-0.2263
someone vomited on the street.,[5],0.0
"i can not think of any incident when i have felt very ashamed. á there are small incidents that i am ashamed of, for instance, á not sending money to the children in ethiopia.",[6],-0.7574
i had lunch with my ex-boyfriend and did not mention it to my á fiancee. i felt guilty despite the fact that i felt nothing for á my ex-boyfriend.,[7],-0.4215
when i was finally qualified for my profession.,[1],0.0
someone attacked me with a knife.,[2],-0.4588
someone drove into my car and then denied that it had happened.,[3],-0.4404
when i was told that my friend's wife had cancer.,[4],-0.6597
when i saw a dog which had been knocked down by a car.,[5],0.0
when i boxed my child's ears.,[6],0.0
when i was fined for speeding.,[7],0.0
i stopped working (had a boring job).,[1],-0.4939
"i was going home by car late one night when it was cold, dark and á windy. i became rather panicky on the way to my house.",[2],-0.3612
quarrel in the family.,[3],0.0
when i am alone in a room with no contact with anyone - á loneliness drains me.,[4],-0.7184
when i was on holiday someone vomited in front of me.,[5],0.4019
emptied a bucket of water in a hospital.,[6],-0.1779
when i feigned sick leave from work.,[7],-0.5423
when i get a hug from someone i love.,[1],0.8074
i was driving very fast on a small road and i met an oncoming car á in a right handed bend. the other driver was on his own side of á the road and i had to skid out of it to avoid a collision. it á was dark.,[2],-0.5719
my car had been towed away by the traffic police because it had á been wrongly parked. however the sign had been put up only after á i had already parked.,[3],0.0
after an operation i had to stay in bed for a long time.,[4],0.0
i was forced to stay in the canteen and eat the food that i had á not asked for but got it anyway.,[5],-0.25
when i did not buy what i had promised to.,[6],0.3612
by mistake i took a book from the library which was not supposed á to be loaned out.,[7],-0.34
when i won an unexpected sum of money.,[1],0.5719
my 2 year old daughter disappeared in a moment of inattention; i á was responsible for her.,[2],0.1027
a colleague asked me for some advice and as he did not have á enough confidence in me he asked a third person.,[3],0.5106
"i wanted to be pregnant and did not succeed, so i was depressed á at every menstruation.",[4],-0.7345
"in a warm bus full of people, someone vomited and the whole bus á stank.",[5],-0.25
"i complained about a colleague's behaviour as she goes back on á her word, is often absent and is irresponsible. i found out that á she was an alcoholic and was trying to fight againt her á addiction.",[6],-0.802
i spoke to my mother on the phone. she had skin cancer and was á waiting to be operated. i forgot to ask her the date of the á operation and just before finishing our conversation she gave me á the date in passing.,[7],-0.6597
when i was at a party i met an old friend from an adult á education course. we had not met for 2 years but had both thought á a lot about each other. a wonderful experience.á,[1],0.8402
"when i was cycling through the park late one night, two people á jumped out of the woods and tried to stop me. there were á shouting something at the same time.",[2],-0.296
when close relatives tried to dissuade me from studying á psychology because of its low status.,[3],-0.2732
i had a long discussion on politics with an acquaintance. he á was more knowledgeable than me and i failed to explain my point á of view and was misunderstood so i felt depressed and left.,[4],-0.8505
when i read a newspaper article on a young girl who had been á raped and assaulted one night by several men when she was unconscious.,[5],-0.8402
my mother revealed personal details about me and the á negative aspects of my character to other people when i was á present but unable to defend myself.,[6],-0.3291
i was unfaithful to my partner once when he was working abroad á for a long period.,[7],0.0
when i recently got an appartment in central gottenburg.,[1],0.0
when i saw a large spider crawling up the wall.,[2],0.0
my employer took too many aspirins for a bad back and also drank á an enormous amount of spirit. this was dangerous and he did á not understand that he had done anything wrong.,[3],-0.8288
"when i left new york, and all my family and my friends behind me.",[4],0.4767
when i slept with a guy because my best friend wanted me to. á he had never had intercourse with anyone and had a terrible á complex about it.,[5],0.6486
when i dated a close girlfriend's boyfriend a few times. he told á me that it was over between them and i accepted it. when she á found out she finished our friendship.,[6],0.6124
"when i broke off with my boyfriend after three years. it was á quite unexpected for him and there was no particular reason for á the break up, such as someone else.",[7],-0.6124
when my son returned from mountaineering - healthy in body and á soul.,[1],0.4019
when one meets new people with whom one is forced to collaborate á with.,[2],-0.4588
the sports fishermen who catch gulls instead of fish with their hooks. á it is often a mistake but it makes me angry.,[3],-0.7311
i feel sad about an event i can not influence.,[4],-0.4767
"when a member of the family complains about the food that is á served, it disgusts me.",[5],-0.6908
[ cannot recall any incident when i felt shame.],[6],-0.4767
i have chosen to put my son in a private school were the á examination marks are low. every time that he gives me his term á results i am left with a sense of guilt.,[7],-0.4939
when i was informed that i had been accepted as a student of á psychology.,[1],0.2732
when i was in a little fishing boat and we ran into hard weather á in the open sea.,[2],-0.1027
when i found out that the guy i was dating at a particular time á had a steady relationship going on with someone else for a long á time.,[3],0.0
i felt sad and depressed when i heard that our cat had died.,[4],-0.875
"when i was working as a nurse in a mental hospital, a patient ate á up the contents of another patient's spitoon.",[5],0.0
"at primary school, when i vomited in front of others in the middle á of a lesson.",[6],0.0
i arrived an hour late for an important meeting ( i had á misunderstood the time).,[7],-0.1531
when i was acceptted as a student of psychology.,[1],0.0
when my son has a pain in his leg (for no apparent reason).,[2],-0.6705
"when, after a week at school, a teacher sent a note home saying á that my son was inattentive and unable to do his lessons.",[3],0.0
when i thought that it was going to be impossible for me to start á studying (due to wrong information from the student advisor).,[4],-0.4767
"at a certain person's lack of cleanliness, at home and á personally.",[5],-0.0516
"when i made the same mistake that i had accused someone else of, and á this was obvious to a third pereson.",[6],-0.5574
when i lost something that was valuable to my sister.,[7],0.2023
when my son was born.,[1],0.0
when i nearly drowned in icy water wearing ice skates. it was á difficult to get out.,[2],-0.7506
when i was pointed out as a problem child in primary school and á my mother took the teacher's point of view.,[3],-0.4019
when i was accused of neglecting work for the wrong reasons.,[4],-0.7906
"my parents attitude towards each other when they should become á reconciled, despite my father's long-time addiction.",[5],0.0
when i was caught stealing money from my father.,[6],-0.5719
i stole a coconut cake from a reception table and when i put á in my mouth i realized that the host was watching me.,[7],0.0
"when after 10 months of national service i was \downgraded\"" and á|did not have to do the remaining 5 months.""",[1],0.0
when i was reprimanded by the manager of the hotel where i á worked during autumn 1984.,[2],0.0
when my parents drove me to a nearby place and went home á immediately instead of waiting a few hours. they could have á easily waited.,[3],0.34
when my ex-girlfriend and i discovered that there was a certain risk á of her being pregnant.,[4],0.0
when i was about to clean the draining board and saw it looked á underneath the sink (i live in a students hostel).,[5],0.4019
when my mother caught me masturbating.,[6],0.0
"as the only person in my family into academics, i ought to have á looked after my younger (and only) sister better, with respect to á her education and life experiences.",[7],0.7184
when my older sister told us that she was thinking of joining the á rest of the family for the winter sports holiday.,[1],0.4019
slept in a chapel and in the middle of the night i realized that á there was someeone else in the chapel. i never discovered who á it was and why he was there.,[2],0.0
