684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",1,neutral
c77717b103,I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,2,positive
a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,1,neutral
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,0,negative
c3924dc9e4,:visiting my friendster and facebook,1,neutral
3d9d4b0b55,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",0,negative
3fcea4debc,which case? I got a new one last week and I`m not thrilled at all with mine.,0,negative
a3ae670885,Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,1,neutral
15d5f3a41b,"also bored at school, its my third freelesson( freistunde )",1,neutral
3c4a21b2cb,hm... Both of us I guess...,1,neutral
11084dac09,it is ****...u have dissappointed me that past few days,0,negative
d8ba2a99a9,romance zero is funny,2,positive
e77fd45003,I`d rather do the early run..but I am a morning runner,1,neutral
b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,0,negative
6086b1f016,will be back later.  http://plurk.com/p/rp3k7,1,neutral
703afdc44b,Aw. Torn ace of hearts  #Hunchback,0,negative
90f3d2b572,what fun are you speaking of?,1,neutral
52483f7da8,"i lost all my friends, i`m alone and sleepy..i wanna go home",0,negative
a4b0888da6,haha yes,1,neutral
2a9765b7f9,I give in to easily,0,negative
90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,2,positive
98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,0,negative
23e1f7dca4,Is at a photoshoot.,1,neutral
95e12b1cb1,He`s awesome... Have you worked with him before? He`s a good friend.,2,positive
c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,1,neutral
fa2654e730,Chilliin,2,positive
187494c25b,"If you know such agent, do let me know",1,neutral
4213627c3c,I still smell of smoke  #kitchenfire,1,neutral
a4e00d4d26,a celtics-lakers rematch sounds better don`t you think? lol,2,positive
04e2e334de,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",1,neutral
0c4aa867d0,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",1,neutral
a6c61eac26,she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,1,neutral
94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,1,neutral
35f393a245,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",0,negative
b2c9f115b1,My sources say no,1,neutral
0a61cbf4b5,I am sooo tired,0,negative
ee9ec7a5a4,"Hey, you change your twitter account, and you didn`t even tell me...",1,neutral
bbbc46889b,THANK YYYYYYYYYOOOOOOOOOOUUUUU!,2,positive
58d382e07a,lucky kid...i so wanna see loserville  pity im in oz....,2,positive
cb4d439ebc,fell asleep waiting for my ride!,1,neutral
64ed512788,Sick. With a flu like thing.,0,negative
4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",0,negative
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),2,positive
0c0563423e,Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,1,neutral
cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",1,neutral
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,0,negative
9339ee8e0b,Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,2,positive
a76f9cf8ce,SWEEEEET - San Fran is awesome!!!!  Love it there,2,positive
4ce121e2ad,_Mounce yes and it lasts way past my bedtime!,1,neutral
a3de81e1ba,Hi  how are you doing ???  *just joined twitter...*,1,neutral
55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,0,negative
b63ed6da62,eating ice cream and then getting ready for graduation.,1,neutral
4c41a35a2a,Happy Mothers day to all you Mums out there,2,positive
61a8e11e8a,"CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",0,negative
447dc22c81,hemp cloth is marvelous but unfortunately no,0,negative
3408db03a3,Gonna read a story bout adam lambert online then bed. Nighty night,1,neutral
92e1b6846e,We saw that in none 3D - the baddie`s the best,2,positive
